ID Véhicule;Tension Batterie;Debut période;Fin Période;Nombre Trajets;Distance;Temps Total;Temps Attente;Temps Conduite;Jours Roulage;Vitesse Moyenne;Km initial; Km final;;;
721033;12.77;02/04/2018;27/04/2018;58;2744,736688;41:3;04:55;36:7;19;72.06;12811;15556;;;
728542;12.50;03/04/2018;27/04/2018;12;225,666776;04:21;00:44;03:36;8;46.93;68828;69054;;;
769721;12.75;22/01/2018;30/01/2018;24;1163,552145;16:1;01:48;14:13;6;82.19;73709;74873;;;
797221;13.10;22/01/2018;31/01/2018;26;1193,482039;18:9;01:57;16:12;8;73.88;55714;56907;;;
797221;12.92;01/02/2018;28/02/2018;52;1813,275034;31:52;04:38;27:14;15;63.59;56907;58721;;;
797221;13.04;01/03/2018;30/03/2018;75;4895,42896;64:26;05:53;58:33;21;84.62;58721;63616;;;
797221;12.97;03/04/2018;27/04/2018;74;3084,879982;50:42;06:40;44:1;21;70.36;63616;66701;;;
845517;13.25;23/01/2018;31/01/2018;24;1309,473338;19:23;01:53;17:30;7;75.09;1752;3061;;;
845517;13.02;01/02/2018;28/02/2018;52;2749,552421;42:18;05:43;36:35;18;72.55;3061;5811;;;
845517;12.90;01/03/2018;30/03/2018;80;3772,933037;53:52;06:39;47:13;21;78.26;5811;9584;;;
845517;12.88;03/04/2018;27/04/2018;80;3201,157411;51:3;06:22;44:40;19;69.75;9584;12785;;;
852536;12.60;31/01/2018;31/01/2018;2;24,985147;00:26;00:1;00:25;1;58.43;112013;112038;;;
852536;12.93;08/02/2018;28/02/2018;16;523,974721;09:54;01:29;08:24;6;55.83;112038;112562;;;
852536;12.92;01/03/2018;29/03/2018;23;610,924418;11:18;01:39;09:39;10;48.75;112562;113173;;;
852536;12.90;04/04/2018;10/04/2018;7;306,998067;04:36;00:30;04:5;3;52.78;113173;113480;;;
931687;13.40;22/01/2018;30/01/2018;26;1320,574723;17:48;01:38;16:10;7;83.39;87285;88606;;;
931687;13.00;01/02/2018;28/02/2018;49;1990,13044;32:36;04:18;28:18;17;65.08;88606;90596;;;
931687;12.70;01/03/2018;29/03/2018;94;4224,90864;60:59;05:59;55:0;21;76.38;90596;94821;;;
931687;12.90;03/04/2018;27/04/2018;81;3228,728842;49:25;05:16;44:9;17;73.04;94821;98049;;;
971458;12.85;22/01/2018;31/01/2018;26;669,347529;10:14;00:56;09:18;6;70.59;51127;51796;;;
971458;12.96;01/02/2018;28/02/2018;72;2374,056211;38:30;03:42;34:48;22;67.48;51796;54170;;;
971458;12.90;01/03/2018;31/03/2018;106;5426,939684;81:17;06:48;74:29;23;73.38;54170;59597;;;
971458;13.18;03/04/2018;26/04/2018;88;4345,692745;62:16;06:23;55:53;16;77.75;59597;63943;;;
983597;12.40;22/03/2018;30/03/2018;2;169,732786;01:57;00:12;01:45;2;62.31;112577;112747;;;
983597;12.63;03/04/2018;27/04/2018;47;1342,044328;27:46;02:48;24:58;14;53.74;112747;114089;;;
997951;13.00;22/01/2018;31/01/2018;26;1039,676879;15:14;01:41;13:33;7;76.63;4285;5325;;;
997951;12.76;01/02/2018;28/02/2018;53;2600,008626;40:14;04:43;35:30;17;74.10;5325;7925;;;
997951;12.80;01/03/2018;30/03/2018;87;4525,691493;67:52;06:55;60:56;21;74.56;7925;12450;;;
997951;12.92;03/04/2018;27/04/2018;60;3233,632525;46:59;05:58;41:0;17;78.01;12450;15684;;;
